Year,Month,A,B,C,D,E,F,G
1945,02,34.5,33.5,13.2,9.1,19.0,28.7,14.8
1945,03,25.7,31.9,15.4,6.9,10.6,4.7,3.5
1945,04,26.7,28.0,14.1,10.6,8.5,9.9,2.4
1945,05,79.2,80.2,43.6,44.3,32.7,35.3,16.2
1945,06,129.6,124.7,94.6,140.9,127.9,97.8,75.0
1945,07,74.6,91.6,63.9,71.2,62.6,63.0,41.1
1945,08,203.0,207.4,129.8,158.2,104.7,90.5,73.3
1945,09,99.2,95.6,53.0,65.2,41.9,41.9,21.0
1945,10,101.3,96.9,61.3,85.7,36.4,42.3,47.3
1945,11,129.0,143.7,85.3,111.1,39.8,45.9,35.8
